wavelength_nm,flux
369.99863,27.246933
370.08383,32.414337
370.16907,33.184258
370.2543,39.229202
370.33957,47.8846
370.42487,21.812279
370.51016,34.50135
370.5955,20.935968
370.68082,33.108746
370.76617,12.117115
370.85156,13.596377
370.93695,36.28992
371.0224,31.86238
371.10782,29.514467
371.1933,23.984085
371.27875,30.103373
371.36426,16.664614
371.44977,29.51657
371.53534,41.94661
371.62088,29.923805
371.70648,21.07065
371.79205,21.426683
371.8777,12.74125
371.96332,4.774688
372.04898,12.213653
372.13464,10.817888
372.22034,6.2558017
372.30606,18.027262
372.39178,8.67335
372.47757,2.8724844
372.56332,18.118443
372.6491,16.018892
372.73492,24.477783
372.82077,26.765593
372.90665,21.88128
372.9925,40.623623
373.0784,32.323822
373.16434,22.761097
373.25024,31.811047
373.3362,16.734636
373.42218,-0.53891695
373.50818,9.464481
373.59418,22.180769
373.68024,17.948692
373.7663,14.217706
373.85236,12.582982
373.93842,19.612738
374.02457,14.021247
374.1107,7.4300675
374.19684,15.741852
374.28302,9.967742
374.3692,20.097307
374.4554,14.773806
374.54166,2.2181509
374.6279,9.472501
374.71417,29.57112
374.80048,-8.75067
374.88678,14.147496
374.97308,10.035067
375.05945,14.416
375.1458,14.133876
375.2322,14.776868
375.31863,-0.25431135
375.40506,30.818678
375.49152,42.51258
375.57797,17.161057
375.66446,22.854584
375.75098,29.56001
375.8375,25.419016
375.92404,21.449526
376.01062,15.335024
376.09723,18.280416
376.1838,20.067268
376.27045,21.05271
376.35712,28.822248
376.4438,21.653505
376.53046,14.754145
376.61716,10.151099
376.70392,11.240984
376.79065,24.2755
376.8774,28.50415
376.9642,18.295227
377.051,20.652107
377.13785,31.616203
377.22467,27.814787
377.31158,24.373514
377.39844,46.417824
377.48535,28.753166
377.5723,34.413445
377.65924,25.288305
377.74622,39.804962
377.8332,31.210764
377.92023,28.007854
378.00723,33.70684
378.0943,43.91481
378.18134,39.404957
378.26843,25.229725
378.35553,44.08609
378.4427,30.544315
378.52985,34.18805
378.617,39.80263
378.7042,42.411877
378.7914,24.866837
378.87863,20.456778
378.96588,29.123405
379.05316,26.171532
379.14044,19.921598
379.22775,27.987993
379.3151,25.114206
379.40244,21.527353
379.4898,32.98527
379.5772,13.689591
379.6646,7.158604
379.752,22.698977
379.83948,18.148983
379.92694,11.840531
380.01447,8.551063
380.10196,18.630987
380.1895,16.209753
380.27704,7.2371545
380.36462,15.148135
380.4522,21.529205
380.53983,33.788074
380.62747,26.009722
380.71512,23.614376
380.8028,27.387476
380.89047,27.233238
380.9782,35.242115
381.06592,54.580917
381.1537,46.975746
381.24146,32.705482
381.32925,32.000885
381.41705,18.45649
381.50488,30.307192
381.59274,12.255956
381.6806,9.802155
381.7685,14.558456
381.8564,25.229464
381.94437,12.202175
382.03232,13.149434
382.1203,20.132479
382.2083,12.334769
382.29633,1.5574274
382.38434,18.136961
382.4724,7.635423
382.5605,10.460474
382.6486,9.973615
382.7367,12.290253
382.82486,12.047789
382.913,11.131809
383.00116,13.538097
383.0894,24.066273
383.17758,12.534106
383.26584,8.803978
383.3541,20.50978
383.44238,13.7153635
383.5307,4.0531144
383.619,3.051176
383.70734,18.789965
383.79572,20.342518
383.8841,8.873491
383.97247,8.484405
384.0609,9.85692
384.14935,11.974638
384.23782,7.3036094
384.3263,6.0853963
384.41483,18.028059
384.50336,27.346195
384.59186,21.07829
384.68045,24.213648
384.76904,24.44415
384.85764,23.624773
384.94626,21.59299
385.0349,23.123755
385.1236,27.517254
385.21228,22.275057
385.30096,27.765083
385.3897,20.207468
385.47845,11.350226
385.56723,16.788248
385.656,18.16871
385.7448,22.497614
385.83368,19.14594
385.92252,16.633858
386.01138,13.533801
386.10028,8.639334
386.18918,17.230766
386.27814,16.047901
386.36707,19.829473
386.45605,21.7153
386.54504,18.351301
386.63406,25.902094
386.72308,27.169888
386.81216,25.300713
386.9012,23.782333
386.99033,22.870007
387.07944,20.263012
387.16858,14.012229
387.25775,17.95987
387.34692,21.836285
387.43613,21.473976
387.52533,25.04074
387.61456,21.50293
387.70386,19.651857
387.79315,21.877756
387.88242,16.595814
387.97174,17.44848
388.0611,14.135851
388.15045,18.70535
388.23984,19.010925
388.32925,23.347506
388.41867,34.237564
388.50812,25.467875
388.5976,8.941506
388.68707,20.736261
388.77658,21.44157
388.86612,16.06332
388.95566,25.667929
389.04523,20.023973
389.13483,20.43373
389.22443,20.455359
389.3141,25.070011
389.40375,30.197252
389.4934,27.62674
389.5831,22.701302
389.67282,18.883087
389.76254,26.596264
389.85233,12.075624
389.94208,15.459591
390.0319,10.160865
390.1217,23.395174
390.21155,13.435734
390.3014,21.78575
390.3913,11.518894
390.48117,23.196894
390.5711,25.443226
390.66107,21.749548
390.751,24.552584
390.841,20.688742
390.931,23.189962
391.02103,18.15457
391.11108,32.75799
391.20114,39.378345
391.29123,29.805038
391.38135,28.104643
391.47147,31.121683
391.5616,31.509161
391.6518,32.78311
391.74197,29.122417
391.83218,26.78294
391.92242,28.305029
392.01266,23.988691
392.10297,29.449581
392.19324,20.447088
392.28357,18.38825
392.3739,16.815811
392.46426,18.787918
392.55463,22.149164
392.64505,16.357307
392.73544,21.098806
392.8259,19.714376
392.91635,14.747306
393.00684,16.848848
393.09735,17.307598
393.18787,12.484691
393.2784,9.6270895
393.36896,4.6772084
393.45956,2.2804127
393.55017,11.133507
393.6408,6.405853
393.73145,12.224716
393.8221,13.600649
393.9128,19.180878
394.00354,20.125084
394.09427,15.239983
394.185,19.302261
394.2758,26.654718
394.36658,26.019482
394.4574,17.341381
394.54825,13.837894
394.6391,21.060583
394.72998,28.587112
394.82086,25.394102
394.9118,27.273333
395.00275,31.445202
395.0937,31.752592
395.1847,35.771954
395.2757,34.28145
395.36673,33.202927
395.45776,27.72293
395.54883,33.274483
395.63992,33.56422
395.73102,27.15295
395.82217,24.872099
395.91333,19.044277
396.0045,25.46181
396.09567,22.87066
396.1869,16.68218
396.27814,19.313246
396.3694,9.29673
396.46066,19.98398
396.55197,17.305342
396.64328,8.438553
396.73462,14.2649555
396.826,7.640237
396.9174,12.72417
397.0088,21.799591
397.1002,11.061686
397.19165,7.0608473
397.28314,15.616301
397.3746,16.691427
397.46613,18.412796
397.55765,20.401281
397.6492,22.047302
397.74078,25.13986
397.83237,23.28945
397.92398,29.811937
398.01562,38.48002
398.10727,43.77288
398.19894,31.909603
398.29065,37.237804
398.3824,42.54193
398.47412,41.043884
398.56586,36.09254
398.65765,49.077427
398.74945,38.970818
398.84128,32.612198
398.93314,43.757553
399.025,42.89327
399.11688,38.72991
399.2088,48.16591
399.30072,46.226242
399.3927,44.9567
399.48468,43.57327
399.57666,46.91053
399.66867,47.80101
399.7607,41.528725
399.85278,43.073055
399.94485,36.56769
400.03696,50.84279
400.1291,40.725872
400.22122,49.09985
400.3134,50.015865
400.40558,48.51753
400.49777,49.344315
400.59003,41.523014
400.68225,36.109577
400.77454,33.415695
400.86682,44.943436
400.95914,45.25252
401.05145,38.990505
401.14383,43.011356
401.2362,46.43021
401.3286,58.198383
401.42102,51.82032
401.51346,46.360794
401.60593,51.55333
401.69843,52.941372
401.79092,50.78456
401.88345,49.76888
401.97598,42.244556
402.06854,45.21771
402.16116,51.26859
402.25375,46.4709
402.34637,48.738728
402.43903,53.052483
402.5317,45.999325
402.62442,45.208046
402.71713,56.131355
402.80988,54.12692
402.90265,54.9825
402.99542,50.446194
403.08823,41.269997
403.18106,40.88714
403.2739,31.511938
403.36676,30.01669
403.45966,32.890846
403.55255,29.548931
403.6455,35.992924
403.73846,43.70966
403.83142,45.088005
403.9244,55.796436
404.01743,57.157608
404.11047,53.24785
404.20355,51.710583
404.29663,52.156765
404.3897,46.665237
404.48285,42.809837
404.576,41.987045
404.66916,32.841
404.76236,26.078247
404.85556,30.677526
404.9488,40.949574
405.04205,43.15595
405.1353,47.65323
405.2286,50.636272
405.32196,52.180305
405.41528,53.72455
405.50864,44.736046
405.60202,47.865868
405.69543,45.93405
405.78885,49.497612
405.8823,46.26742
405.97577,43.12081
406.06927,39.21145
406.16278,52.372616
406.2563,49.348038
406.34985,35.021435
406.44342,30.462101
406.53705,29.779402
406.63065,31.978622
406.7243,34.494694
406.81793,40.800617
406.91165,45.08423
407.00534,47.52137
407.09906,48.422832
407.1928,37.58456
407.2866,28.721409
407.38037,26.919771
407.47418,41.41968
407.56805,45.241737
407.6619,47.692593
407.75577,41.428963
407.84967,41.982243
407.94357,44.171635
408.03754,38.64254
408.1315,50.822575
408.2255,55.260635
408.3195,59.352463
408.4135,51.311657
408.50757,52.731915
408.60162,49.292725
408.69574,56.50217
408.78986,59.62217
408.88397,64.71348
408.97815,63.441372
409.07233,62.24433
409.16653,60.73085
409.26077,59.348587
409.355,60.219948
409.44928,56.420223
409.54358,61.264584
409.63788,54.578033
409.73224,48.099693
409.82657,46.393948
409.92096,48.63079
410.01532,53.73392
410.10977,45.880974
410.2042,36.80778
410.29868,38.010635
410.39316,46.03514
410.48764,46.825615
410.58218,45.481297
410.67676,48.383934
410.77133,53.731434
410.8659,52.331936
410.96054,51.372837
411.05518,55.942295
411.1498,53.655807
411.24454,50.94426
411.3392,46.91377
411.43393,51.13263
411.52866,52.127724
411.62344,55.15053
411.71826,56.35908
411.81305,50.38822
411.9079,53.592945
412.00275,60.84034
412.0976,47.14054
412.19254,53.26671
412.28745,53.26133
412.3824,52.778652
412.47736,50.27076
412.57236,61.625595
412.66733,56.592186
412.7624,61.342808
412.85742,52.912575
412.95248,54.526493
413.0476,54.306675
413.14273,49.864017
413.23788,46.656116
413.333,42.147083
413.42822,35.10272
413.52344,34.942337
413.61865,45.635838
413.71393,48.792126
413.80917,61.6076
413.90445,56.344967
413.99982,58.815865
414.09512,57.604877
414.1905,61.409878
414.28583,48.942265
414.38126,42.25869
414.4767,30.319895
414.5721,29.505531
414.66763,40.125023
414.7631,47.251904
414.85858,49.88109
414.95416,49.012104
415.0497,55.15962
415.14526,48.0522
