wavelength_nm,flux
369.99863,779.72015
370.08383,757.6852
370.16907,672.87335
370.2543,626.0292
370.33957,604.7892
370.42487,608.53937
370.51016,473.96405
370.5955,595.25226
370.68082,528.4659
370.76617,662.9804
370.85156,602.13104
370.93695,669.4279
371.0224,524.27655
371.10782,516.3211
371.1933,541.9494
371.27875,531.6481
371.36426,533.07477
371.44977,662.06696
371.53534,607.3707
371.62088,599.67145
371.70648,636.10455
371.79205,683.0463
371.8777,577.35
371.96332,648.40216
372.04898,486.0298
372.13464,453.3978
372.22034,423.9216
372.30606,570.0121
372.39178,626.3624
372.47757,706.0811
372.56332,708.18414
372.6491,593.6048
372.73492,788.96716
372.82077,769.051
372.90665,829.95764
372.9925,778.15106
373.0784,729.70276
373.16434,795.18365
373.25024,716.89514
373.3362,672.1554
373.42218,565.8668
373.50818,615.6007
373.59418,688.62286
373.68024,655.9836
373.7663,745.907
373.85236,823.0532
373.93842,777.23846
374.02457,768.2133
374.1107,889.8726
374.19684,875.4869
374.28302,853.9303
374.3692,867.94336
374.4554,869.4846
374.54166,788.25037
374.6279,782.1763
374.71417,755.6323
374.80048,638.8799
374.88678,613.59344
374.97308,549.04315
375.05945,567.57916
375.1458,600.079
375.2322,686.2932
375.31863,778.51416
375.40506,913.60785
375.49152,906.8478
375.57797,967.927
375.66446,887.70715
375.75098,947.3234
375.8375,808.31995
375.92404,797.6749
376.01062,832.22784
376.09723,810.73785
376.1838,943.5477
376.27045,925.9354
376.35712,840.6543
376.4438,853.2559
376.53046,887.42786
376.61716,895.7114
376.70392,854.2976
376.79065,818.11444
376.8774,740.9232
376.9642,655.5243
377.051,668.5317
377.13785,628.9171
377.22467,637.6446
377.31158,820.7433
377.39844,740.58344
377.48535,812.86694
377.5723,915.0557
377.65924,861.8579
377.74622,991.1144
377.8332,969.67926
377.92023,1026.2704
378.00723,960.26117
378.0943,1023.06793
378.18134,1045.6522
378.26843,1053.4191
378.35553,998.5932
378.4427,1038.6453
378.52985,1040.7682
378.617,1025.6517
378.7042,978.7384
378.7914,962.024
378.87863,980.4749
378.96588,944.437
379.05316,903.4803
379.14044,907.7286
379.22775,927.5928
379.3151,853.05554
379.40244,820.8136
379.4898,848.6944
379.5772,782.07336
379.6646,740.897
379.752,667.7162
379.83948,605.3231
379.92694,646.9173
380.01447,709.8546
380.10196,758.2276
380.1895,810.02313
380.27704,872.6593
380.36462,904.58014
380.4522,987.4491
380.53983,1004.98254
380.62747,951.03094
380.71512,962.52075
380.8028,968.575
380.89047,992.4079
380.9782,1055.4211
381.06592,1064.1436
381.1537,1069.3665
381.24146,1056.6094
381.32925,931.7825
381.41705,987.54266
381.50488,854.50604
381.59274,901.17957
381.6806,969.49414
381.7685,941.07745
381.8564,967.9856
381.94437,941.32654
382.03232,803.3567
382.1203,885.9425
382.2083,862.72156
382.29633,883.1191
382.38434,941.43976
382.4724,857.3232
382.5605,860.1029
382.6486,795.64185
382.7367,801.5958
382.82486,725.2112
382.913,689.3202
383.00116,713.45215
383.0894,773.0136
383.17758,672.3831
383.26584,659.8499
383.3541,576.09393
383.44238,557.16797
