wavelength_nm,flux
369.99863,21139.713
370.08383,23093.914
370.16907,22731.94
370.2543,20063.777
370.33957,20100.662
370.42487,18640.344
370.51016,16389.244
370.5955,16801.246
370.68082,17410.244
370.76617,16742.184
370.85156,19252.225
370.93695,17215.322
371.0224,17541.572
371.10782,17172.334
371.1933,18290.162
371.27875,18270.225
371.36426,20136.514
371.44977,20697.818
371.53534,21967.934
371.62088,21892.559
371.70648,22126.168
371.79205,20877.36
371.8777,20852.107
371.96332,18474.098
372.04898,16792.28
372.13464,15389.111
372.22034,15274.612
372.30606,15745.235
372.39178,17681.453
372.47757,19720.656
372.56332,21039.643
372.6491,20402.592
372.73492,20591.863
372.82077,20287.447
372.90665,20797.44
372.9925,21535.402
373.0784,20204.492
373.16434,19093.406
373.25024,17909.834
373.3362,16078.18
373.42218,13732.84
373.50818,13614.4795
373.59418,13712.804
373.68024,14100.348
373.7663,16338.165
373.85236,17181.432
373.93842,20586.387
374.02457,21835.693
374.1107,21747.068
374.19684,22586.55
374.28302,21365.318
374.3692,20844.848
374.4554,20069.252
374.54166,18162.06
374.6279,18903.984
374.71417,18485.129
374.80048,16358.107
374.88678,15608.353
374.97308,12935.057
375.05945,14410.817
375.1458,15988.072
375.2322,18382.977
375.31863,21171.65
375.40506,21110.93
375.49152,23732.002
375.57797,25134.71
375.66446,23169.861
375.75098,21676.127
375.8375,20123.67
375.92404,19143.129
376.01062,19821.174
376.09723,21239.244
376.1838,21966.271
376.27045,21838.04
376.35712,23612.955
376.4438,22219.574
376.53046,23303.326
376.61716,22386.785
376.70392,21151.256
376.79065,20896.084
376.8774,20453.008
376.9642,19243.756
377.051,18096.62
377.13785,16801.068
377.22467,19278.268
377.31158,21550.258
377.39844,22537.219
377.48535,22720.654
377.5723,23693.475
377.65924,24596.111
377.74622,25318.09
377.8332,25504.6
377.92023,27860.404
378.00723,26867.805
378.0943,27340.193
378.18134,29200.25
378.26843,28005.598
378.35553,28098.09
378.4427,28346.682
378.52985,27232.918
378.617,26137.86
378.7042,24864.732
378.7914,23827.785
378.87863,23754.91
378.96588,23871.605
379.05316,23928.969
379.14044,24360.727
379.22775,23432.193
379.3151,22712.627
379.40244,22763.752
379.4898,20634.643
379.5772,19736.814
379.6646,19288.527
379.752,17355.152
379.83948,16415.928
379.92694,17573.898
380.01447,19352.863
380.10196,21630.822
380.1895,23016.395
380.27704,23878.326
380.36462,26868.928
380.4522,27253.164
380.53983,27126.047
380.62747,26645.61
380.71512,25384.686
380.8028,26851.365
380.89047,26995.516
380.9782,27577.934
381.06592,28348.078
381.1537,29300.54
381.24146,27594.12
381.32925,25850.9
381.41705,23906.824
381.50488,23070.979
381.59274,21778.76
381.6806,23798.596
381.7685,26450.64
381.8564,26282.635
381.94437,24715.54
382.03232,21588.342
382.1203,21917.555
382.2083,22328.084
382.29633,25620.46
382.38434,24025.984
382.4724,21320.771
382.5605,19515.668
382.6486,19181.514
382.7367,19532.588
382.82486,18454.385
382.913,19017.865
383.00116,19710.45
383.0894,19352.443
383.17758,17102.879
383.26584,16291.295
383.3541,14356.119
383.44238,13843.894
383.5307,13253.686
383.619,14025.757
383.70734,14990.095
383.79572,14199.699
383.8841,14857.584
383.97247,15670.978
384.0609,17479.908
384.14935,20303.172
384.23782,21824.373
384.3263,23030.562
384.41483,24174.541
384.50336,24320.145
384.59186,25181.086
384.68045,26323.484
384.76904,26579.137
384.85764,27143.844
384.94626,26174.434
385.0349,25323.637
385.1236,26318.635
385.21228,26850.32
385.30096,27700.314
385.3897,27460.227
385.47845,27695.342
385.56723,26008.803
385.656,25882.965
385.7448,25118.428
385.83368,25876.395
385.92252,23187.875
386.01138,22895.14
386.10028,23300.816
386.18918,26211.807
386.27814,27023.523
386.36707,28229.326
386.45605,28165.121
386.54504,28275.941
386.63406,28375.71
386.72308,28487.928
386.81216,28018.625
386.9012,27806.691
386.99033,27491.977
387.07944,27996.227
387.16858,24684.873
387.25775,22735.744
387.34692,23773.717
387.43613,24089.65
387.52533,26187.777
387.61456,26357.201
387.70386,26642.777
387.79315,24077.627
387.88242,23992.578
387.97174,24095.47
388.0611,25513.135
388.15045,25698.469
388.23984,24845.842
388.32925,22925.389
388.41867,23121.059
388.50812,21944.592
388.5976,19598.31
388.68707,18675.227
388.77658,17207.668
388.86612,15479.779
388.95566,16238.059
389.04523,16704.715
389.13483,18826.244
389.22443,21056.668
389.3141,21678.422
389.40375,22712.934
389.4934,22560.4
389.5831,23279.986
389.67282,24431.57
389.76254,24685.426
389.85233,25088.066
389.94208,25247.121
390.0319,26040.818
390.1217,26878.164
390.21155,26311.674
390.3014,25640.338
390.3913,25019.41
390.48117,24613.361
390.5711,24855.62
390.66107,24510.668
390.751,25407.232
390.841,27861.986
390.931,28289.514
391.02103,28106.824
391.11108,28592.01
391.20114,29020.852
391.29123,28489.574
391.38135,27827.748
391.47147,28308.756
391.5616,27955.303
391.6518,27446.014
391.74197,27071.158
391.83218,27207.535
391.92242,26894.754
392.01266,25383.092
392.10297,25473.736
392.19324,25756.203
392.28357,26148.957
392.3739,25950.582
392.46426,26656.756
392.55463,26576.352
392.64505,23954.28
392.73544,21787.06
392.8259,19892.082
392.91635,17137.121
393.00684,14226.141
393.09735,12184.359
393.18787,9206.247
393.2784,8032.42
393.36896,5662.4243
393.45956,5561.8647
393.55017,7035.795
393.6408,9517.212
393.73145,12326.901
