wavelength_nm,flux
369.99863,1722.7078
370.08383,1719.5308
370.16907,1326.348
370.2543,1458.3185
370.33957,1281.4795
370.42487,1554.1818
370.51016,1389.7606
370.5955,1278.4641
370.68082,1433.0533
370.76617,1400.1698
370.85156,1247.001
370.93695,1525.4282
371.0224,789.28516
371.10782,1389.0984
371.1933,1306.1935
371.27875,1215.2495
371.36426,1208.0524
371.44977,1049.367
371.53534,1566.0825
371.62088,1541.1451
371.70648,1175.4836
371.79205,1365.789
371.8777,1556.6665
371.96332,1585.1803
372.04898,1746.759
372.13464,1615.7673
372.22034,1053.839
372.30606,1372.9404
372.39178,1056.298
372.47757,1249.8824
372.56332,1224.8558
372.6491,1311.2134
372.73492,1417.5886
372.82077,1556.8508
372.90665,1078.714
372.9925,1258.9366
373.0784,1395.9236
373.16434,1129.773
373.25024,1148.0839
373.3362,935.3637
373.42218,859.7271
373.50818,907.66156
373.59418,926.75635
373.68024,895.6128
373.7663,870.6604
373.85236,1339.7341
373.93842,1432.4996
374.02457,1307.9008
374.1107,1576.211
374.19684,1949.0942
374.28302,1519.3115
374.3692,1582.3667
374.4554,1627.3448
374.54166,1509.6636
374.6279,1095.2091
374.71417,1479.3319
374.80048,1184.2013
374.88678,1142.8528
374.97308,996.0254
375.05945,968.2042
375.1458,1120.5636
375.2322,771.2161
375.31863,995.2996
375.40506,1602.2129
375.49152,866.02795
375.57797,1539.7438
375.66446,1638.817
375.75098,1870.5103
375.8375,1625.5114
375.92404,1249.1936
376.01062,1200.1302
376.09723,1512.323
376.1838,1193.0995
376.27045,1237.336
376.35712,1410.6738
376.4438,1548.7234
376.53046,1909.5405
376.61716,1426.1858
376.70392,1346.8037
376.79065,1517.8511
376.8774,1036.2557
376.9642,1100.4237
377.051,1001.6551
377.13785,763.03723
377.22467,1043.9122
377.31158,1138.4706
377.39844,1409.9568
377.48535,1481.3995
377.5723,1481.0486
377.65924,1451.0511
377.74622,1512.2025
377.8332,1594.337
377.92023,1686.0427
378.00723,1699.0118
378.0943,1564.7737
378.18134,1661.1493
378.26843,1493.662
378.35553,1655.7594
378.4427,1998.5417
378.52985,1766.649
378.617,1966.4938
378.7042,1747.888
378.7914,1438.9052
378.87863,1255.7433
378.96588,1518.8132
379.05316,1551.4862
379.14044,1492.6979
379.22775,1675.3113
379.3151,1575.3071
379.40244,1334.3485
379.4898,1217.2745
379.5772,1208.8329
379.6646,1182.2847
379.752,1189.2244
379.83948,1221.1558
379.92694,1038.417
380.01447,1019.40216
380.10196,1141.7488
380.1895,969.4935
380.27704,1485.0228
380.36462,1531.9788
380.4522,1261.2216
380.53983,1583.3811
380.62747,1881.2988
380.71512,1714.6024
380.8028,1839.5579
380.89047,1542.8917
380.9782,1575.8485
381.06592,1848.063
381.1537,1688.4154
381.24146,1573.2327
381.32925,1665.3503
381.41705,1623.7435
381.50488,1627.2222
381.59274,1482.1732
381.6806,1516.9323
381.7685,1500.3572
381.8564,1689.0807
381.94437,1645.1111
382.03232,1635.3223
382.1203,1574.4619
382.2083,1397.9701
382.29633,1433.4042
382.38434,1364.8503
382.4724,1343.6852
382.5605,1398.9061
382.6486,1327.3427
382.7367,1519.0365
382.82486,1524.0676
382.913,1220.3228
383.00116,1189.4861
383.0894,1142.5323
383.17758,1414.5459
383.26584,933.4772
383.3541,1167.4858
383.44238,622.524
383.5307,719.3315
383.619,900.1772
383.70734,913.4238
383.79572,919.8106
383.8841,924.4612
383.97247,966.47955
384.0609,994.835
384.14935,1003.497
384.23782,1353.4668
384.3263,1227.9646
384.41483,1155.2622
384.50336,1455.5144
384.59186,1438.9852
384.68045,1337.8462
384.76904,1532.7268
384.85764,1539.501
384.94626,1823.3608
385.0349,1515.4955
385.1236,1241.6061
385.21228,1707.8043
385.30096,1499.613
385.3897,1857.7458
385.47845,1658.4468
385.56723,1393.74
385.656,1673.9559
385.7448,1544.9237
385.83368,1187.5519
385.92252,1602.1608
386.01138,1328.7394
386.10028,1347.9086
386.18918,1684.5752
386.27814,1649.8818
386.36707,1840.7435
386.45605,1635.9569
386.54504,1607.4022
386.63406,1770.9792
386.72308,1577.6173
386.81216,1571.808
386.9012,1649.1196
386.99033,1595.1558
387.07944,1599.564
387.16858,1525.6976
387.25775,1395.5653
387.34692,1453.5118
387.43613,1446.0588
387.52533,1424.0953
387.61456,1657.8276
387.70386,1512.1293
387.79315,1646.3689
387.88242,1298.1298
387.97174,1273.4313
388.0611,1313.5792
388.15045,1444.5613
388.23984,1738.8966
388.32925,1556.9106
388.41867,1406.2543
388.50812,1328.6084
388.5976,1335.5789
388.68707,948.8059
388.77658,1173.2324
388.86612,903.5147
388.95566,982.5213
389.04523,826.76447
389.13483,927.2984
389.22443,962.7739
